EnrollmentID,StudentID,CourseID,Semester,Year,MidtermScore,FinalScore,TotalScore,LetterGrade
89,1191,COURSE22,Spring,2020,5.2,5.7,5.5,C
90,1047,COURSE42,Summer,2024,8.5,9.1,8.86,A
91,1475,COURSE24,Summer,2020,3.1,1.4,2.08,F
92,1450,COURSE22,Spring,2024,5.4,6.7,6.18,C
93,1400,COURSE3,Summer,2021,4.4,5.2,4.88,D
94,1220,COURSE30,Spring,2022,7.5,9.3,8.58,A
95,1282,COURSE38,Summer,2023,5.4,4.9,5.1,D
96,1486,COURSE43,Summer,2019,2.4,3.2,2.88,F
97,1146,COURSE10,Fall,2023,8.4,9.5,9.06,A
98,1113,COURSE14,Fall,2023,3.6,5.0,4.44,D
99,1446,COURSE19,Summer,2024,3.6,5.1,4.5,D
100,1467,COURSE30,Fall,2020,4.4,4.2,4.28,D
101,1283,COURSE36,Fall,2021,4.6,4.1,4.3,D
102,1445,COURSE40,Summer,2024,3.3,4.0,3.72,F
103,1252,COURSE2,Fall,2022,9.4,9.4,9.4,A
104,1163,COURSE13,Fall,2020,3.7,5.0,4.48,D
105,1175,COURSE39,Summer,2020,7.8,7.1,7.38,B
106,1277,COURSE3,Spring,2019,6.6,6.3,6.42,C
107,1410,COURSE15,Summer,2022,2.9,3.4,3.2,F
108,1314,COURSE13,Fall,2022,4.3,4.7,4.54,D
109,1495,COURSE34,Spring,2019,6.9,7.5,7.26,B
110,1198,COURSE34,Summer,2019,8.2,7.3,7.66,B
111,1436,COURSE25,Spring,2020,8.5,10.0,9.4,A
112,1115,COURSE28,Fall,2024,5.5,6.9,6.34,C
113,1092,COURSE19,Summer,2023,9.8,8.6,9.08,A
114,1205,COURSE5,Summer,2022,4.4,4.8,4.64,D
115,1433,COURSE20,Summer,2019,8.3,8.6,8.48,B
116,1152,COURSE27,Spring,2024,4.0,4.1,4.06,D
117,1137,COURSE31,Summer,2024,8.1,9.7,9.06,A
118,1274,COURSE19,Spring,2023,8.3,7.1,7.58,B
119,1106,COURSE12,Fall,2020,7.1,8.5,7.94,B
120,1197,COURSE5,Spring,2020,8.8,9.4,9.16,A
121,1262,COURSE4,Spring,2021,3.5,4.7,4.22,D
122,1015,COURSE49,Summer,2021,5.5,4.6,4.96,D
123,1178,COURSE33,Spring,2024,7.7,9.2,8.6,A
124,1106,COURSE27,Summer,2024,5.4,4.5,4.86,D
125,1292,COURSE26,Summer,2022,8.1,8.2,8.16,B
126,1349,COURSE23,Fall,2023,6.9,7.7,7.38,B
127,1499,COURSE38,Summer,2020,9.3,9.1,9.18,A
128,1302,COURSE15,Spring,2022,6.9,8.5,7.86,B
129,1098,COURSE2,Summer,2020,9.1,9.8,9.52,A
130,1225,COURSE7,Fall,2019,5.1,5.9,5.58,C
131,1034,COURSE9,Spring,2020,7.5,7.1,7.26,B
132,1217,COURSE4,Summer,2019,4.0,1.7,2.62,F
133,1152,COURSE4,Spring,2022,2.7,1.6,2.04,F
134,1298,COURSE4,Fall,2021,3.7,4.3,4.06,D
135,1273,COURSE48,Spring,2024,8.3,9.5,9.02,A
136,1428,COURSE31,Spring,2024,2.6,2.1,2.3,F
137,1281,COURSE32,Spring,2022,5.0,6.0,5.6,C
138,1455,COURSE45,Summer,2021,4.6,4.2,4.36,D
139,1262,COURSE4,Fall,2022,6.2,5.9,6.02,C
140,1026,COURSE8,Spring,2023,9.1,8.5,8.74,A
141,1122,COURSE40,Fall,2022,6.8,5.5,6.02,C
142,1269,COURSE49,Spring,2019,3.8,5.2,4.64,D
143,1052,COURSE26,Summer,2023,7.6,9.6,8.8,A
144,1450,COURSE18,Summer,2024,8.4,8.3,8.34,B
145,1470,COURSE35,Fall,2024,7.9,8.4,8.2,B
146,1251,COURSE42,Fall,2022,5.9,6.8,6.44,C
147,1215,COURSE32,Summer,2024,8.4,9.9,9.3,A
148,1473,COURSE40,Spring,2020,3.8,5.4,4.76,D
149,1007,COURSE35,Spring,2020,6.7,6.8,6.76,C
150,1438,COURSE35,Fall,2020,2.2,2.8,2.56,F
151,1155,COURSE35,Fall,2021,3.5,5.1,4.46,D
152,1388,COURSE34,Fall,2023,3.5,4.1,3.86,F
153,1115,COURSE34,Fall,2020,4.0,5.3,4.78,D
154,1221,COURSE15,Summer,2019,5.7,6.3,6.06,C
155,1500,COURSE26,Fall,2019,6.1,5.8,5.92,C
156,1159,COURSE22,Spring,2024,8.9,9.5,9.26,A
157,1075,COURSE46,Spring,2019,8.2,9.1,8.74,A
158,1163,COURSE37,Fall,2021,5.9,6.9,6.5,C
159,1205,COURSE43,Spring,2022,3.2,3.8,3.56,F
160,1480,COURSE10,Spring,2022,7.6,7.8,7.72,B
161,1064,COURSE10,Spring,2021,7.5,9.2,8.52,A
162,1072,COURSE9,Summer,2020,8.4,7.3,7.74,B
163,1106,COURSE14,Spring,2019,2.1,2.2,2.16,F
164,1352,COURSE33,Spring,2021,5.7,6.8,6.36,C
165,1125,COURSE21,Fall,2021,5.1,6.9,6.18,C
166,1242,COURSE41,Fall,2019,3.4,3.7,3.58,F
167,1190,COURSE34,Spring,2024,3.2,3.4,3.32,F
168,1003,COURSE39,Spring,2021,5.7,6.0,5.88,C
169,1031,COURSE8,Fall,2023,4.3,5.1,4.78,D
170,1197,COURSE29,Fall,2021,4.2,4.4,4.32,D
171,1162,COURSE39,Summer,2020,5.4,5.4,5.4,D
172,1221,COURSE29,Spring,2023,2.7,2.9,2.82,F
173,1371,COURSE40,Spring,2019,5.5,5.8,5.68,C
174,1320,COURSE5,Summer,2020,5.7,6.0,5.88,C
175,1433,COURSE5,Spring,2019,3.8,3.5,3.62,F
176,1008,COURSE9,Summer,2019,3.4,3.9,3.7,F
177,1043,COURSE47,Spring,2022,5.8,5.9,5.86,C
178,1131,COURSE10,Summer,2019,7.8,9.0,8.52,A
179,1278,COURSE30,Spring,2023,6.8,7.1,6.98,C
180,1218,COURSE28,Spring,2019,4.7,4.5,4.58,D
181,1060,COURSE9,Fall,2024,6.1,5.8,5.92,C
182,1151,COURSE32,Fall,2019,7.9,7.3,7.54,B
183,1110,COURSE14,Spring,2023,4.1,5.1,4.7,D
184,1057,COURSE33,Fall,2021,4.6,4.5,4.54,D
185,1024,COURSE36,Spring,2020,3.1,3.1,3.1,F
186,1157,COURSE47,Fall,2022,8.3,7.9,8.06,B
187,1113,COURSE14,Fall,2021,5.5,6.6,6.16,C
188,1001,COURSE1,Spring,2020,9.4,8.8,9.04,A
189,1101,COURSE38,Spring,2021,6.6,6.2,6.36,C
190,1466,COURSE43,Summer,2020,5.1,4.4,4.68,D
191,1377,COURSE47,Fall,2024,5.7,6.9,6.42,C
192,1212,COURSE5,Spring,2019,3.3,3.3,3.3,F
193,1292,COURSE8,Fall,2022,6.4,5.8,6.04,C
194,1256,COURSE17,Summer,2024,5.9,6.7,6.38,C
195,1399,COURSE28,Summer,2024,6.4,5.5,5.86,C
196,1466,COURSE32,Spring,2023,6.7,7.5,7.18,B
197,1349,COURSE25,Spring,2022,8.4,7.7,7.98,B
198,1442,COURSE39,Summer,2023,2.5,2.1,2.26,F
199,1061,COURSE34,Spring,2021,5.4,6.1,5.82,C
200,1499,COURSE32,Spring,2022,2.4,3.5,3.06,F
201,1084,COURSE5,Fall,2023,8.6,8.9,8.78,A
202,1454,COURSE30,Spring,2019,8.4,7.5,7.86,B
203,1071,COURSE47,Summer,2019,6.8,5.6,6.08,C
204,1351,COURSE42,Spring,2023,6.4,6.2,6.28,C
205,1438,COURSE23,Spring,2021,8.6,8.6,8.6,A
206,1351,COURSE14,Fall,2020,5.1,6.0,5.64,C
207,1243,COURSE31,Summer,2022,5.4,4.9,5.1,D
208,1415,COURSE11,Summer,2024,4.2,4.9,4.62,D
209,1251,COURSE5,Fall,2022,8.0,8.7,8.42,B
210,1183,COURSE5,Spring,2023,4.2,5.3,4.86,D
211,1110,COURSE34,Summer,2021,7.5,7.4,7.44,B
212,1146,COURSE24,Summer,2021,6.9,6.7,6.78,C
213,1488,COURSE39,Spring,2022,4.1,5.5,4.94,D
214,1375,COURSE38,Fall,2024,10.0,9.1,9.46,A
215,1346,COURSE30,Fall,2019,3.3,2.2,2.64,F
216,1235,COURSE40,Summer,2019,7.0,7.1,7.06,B
217,1409,COURSE36,Summer,2021,2.5,1.8,2.08,F
218,1377,COURSE50,Summer,2020,7.3,7.3,7.3,B
219,1183,COURSE50,Fall,2024,3.9,1.3,2.34,F
220,1408,COURSE33,Spring,2023,3.3,2.3,2.7,F
221,1337,COURSE23,Summer,2022,4.3,4.6,4.48,D
222,1015,COURSE48,Summer,2020,8.2,7.4,7.72,B
223,1197,COURSE11,Summer,2023,7.6,9.9,8.98,A
224,1426,COURSE38,Summer,2023,5.2,4.4,4.72,D
225,1008,COURSE50,Spring,2022,3.0,1.3,1.98,F
226,1124,COURSE3,Summer,2022,7.7,9.8,8.96,A
227,1374,COURSE10,Summer,2022,7.3,8.0,7.72,B
228,1238,COURSE21,Summer,2022,8.4,7.4,7.8,B
229,1223,COURSE16,Fall,2022,6.5,7.0,6.8,C
230,1182,COURSE5,Summer,2020,7.9,8.4,8.2,B
231,1193,COURSE37,Fall,2021,2.9,2.1,2.42,F
232,1107,COURSE49,Fall,2024,3.1,3.6,3.4,F
233,1038,COURSE42,Spring,2019,3.3,1.7,2.34,F
234,1358,COURSE11,Spring,2019,5.0,4.2,4.52,D
235,1072,COURSE23,Summer,2024,5.3,6.4,5.96,C
236,1075,COURSE37,Summer,2023,8.1,9.6,9.0,A
237,1465,COURSE13,Spring,2024,2.7,1.8,2.16,F
238,1439,COURSE27,Summer,2019,7.0,5.6,6.16,C
239,1306,COURSE44,Fall,2019,6.3,5.6,5.88,C
240,1217,COURSE41,Spring,2022,8.0,7.3,7.58,B
241,1245,COURSE41,Spring,2023,7.7,9.5,8.78,A
242,1469,COURSE12,Fall,2020,5.0,5.0,5.0,D
243,1270,COURSE45,Summer,2024,5.1,5.9,5.58,C
244,1317,COURSE19,Spring,2019,8.6,8.9,8.78,A
245,1388,COURSE25,Fall,2022,6.6,5.7,6.06,C
246,1193,COURSE23,Summer,2021,4.7,5.5,5.18,D
247,1442,COURSE29,Fall,2021,8.3,7.3,7.7,B
248,1092,COURSE35,Fall,2022,2.0,3.9,3.14,F
249,1319,COURSE39,Fall,2023,6.8,6.9,6.86,C
250,1034,COURSE2,Fall,2019,4.3,5.1,4.78,D
251,1146,COURSE39,Fall,2020,6.9,7.6,7.32,B
252,1492,COURSE15,Spring,2021,6.7,5.7,6.1,C
253,1116,COURSE38,Spring,2021,5.3,4.7,4.94,D
254,1322,COURSE6,Fall,2023,7.4,7.5,7.46,B
255,1384,COURSE50,Summer,2019,5.3,4.8,5.0,D
256,1207,COURSE27,Spring,2020,5.1,5.3,5.22,D
257,1186,COURSE48,Summer,2021,6.8,6.0,6.32,C
258,1070,COURSE48,Fall,2023,8.3,9.4,8.96,A
259,1270,COURSE26,Fall,2023,5.9,6.9,6.5,C
260,1403,COURSE8,Fall,2020,2.8,2.4,2.56,F
261,1203,COURSE17,Spring,2022,7.7,7.6,7.64,B
262,1003,COURSE19,Summer,2019,8.5,7.1,7.66,B
263,1497,COURSE22,Summer,2023,2.4,2.0,2.16,F
264,1463,COURSE30,Summer,2019,6.8,7.4,7.16,B
265,1242,COURSE27,Spring,2024,6.6,6.3,6.42,C
266,1245,COURSE33,Fall,2020,3.6,5.5,4.74,D
267,1002,COURSE28,Summer,2023,6.2,5.6,5.84,C
268,1095,COURSE41,Spring,2022,4.8,4.6,4.68,D
269,1319,COURSE50,Fall,2020,5.3,6.3,5.9,C
270,1475,COURSE2,Summer,2024,3.5,3.0,3.2,F
271,1013,COURSE24,Fall,2020,5.5,6.3,5.98,C
272,1438,COURSE14,Fall,2019,8.8,9.6,9.28,A
273,1057,COURSE48,Summer,2022,5.7,6.7,6.3,C
274,1007,COURSE16,Summer,2021,3.3,1.1,1.98,F
275,1229,COURSE20,Fall,2024,3.1,3.6,3.4,F
276,1390,COURSE29,Fall,2021,8.9,8.8,8.84,A
277,1212,COURSE41,Spring,2021,8.8,9.6,9.28,A
278,1456,COURSE17,Summer,2020,2.2,3.5,2.98,F
279,1467,COURSE18,Spring,2022,2.3,2.6,2.48,F
280,1339,COURSE50,Fall,2022,8.5,8.9,8.74,A
281,1211,COURSE49,Spring,2022,6.3,5.6,5.88,C
282,1206,COURSE5,Spring,2022,8.0,7.8,7.88,B
283,1108,COURSE43,Summer,2023,5.3,4.8,5.0,D
284,1137,COURSE21,Summer,2023,3.6,4.2,3.96,F
285,1102,COURSE24,Spring,2021,5.1,4.7,4.86,D
286,1137,COURSE41,Fall,2024,4.4,4.5,4.46,D
287,1089,COURSE25,Spring,2021,8.2,9.9,9.22,A
288,1347,COURSE17,Fall,2021,4.4,5.3,4.94,D
289,1002,COURSE12,Summer,2019,3.3,3.6,3.48,F
290,1158,COURSE9,Fall,2019,6.7,6.9,6.82,C
291,1131,COURSE6,Summer,2019,4.9,5.2,5.08,D
292,1276,COURSE28,Summer,2023,6.5,6.4,6.44,C
293,1139,COURSE6,Summer,2021,3.4,3.1,3.22,F
294,1342,COURSE40,Summer,2023,7.6,9.3,8.62,A
295,1265,COURSE40,Spring,2024,9.5,8.9,9.14,A
296,1496,COURSE49,Summer,2023,8.7,9.2,9.0,A
297,1014,COURSE6,Fall,2024,5.8,5.7,5.74,C
298,1300,COURSE2,Fall,2019,6.1,6.2,6.16,C
299,1137,COURSE44,Fall,2024,4.8,4.8,4.8,D
300,1452,COURSE18,Summer,2021,7.6,8.5,8.14,B
301,1378,COURSE43,Fall,2019,6.4,6.6,6.52,C
302,1224,COURSE30,Summer,2020,8.4,8.3,8.34,B
303,1192,COURSE44,Summer,2019,4.4,4.9,4.7,D
304,1298,COURSE20,Fall,2020,8.6,8.8,8.72,A
305,1136,COURSE26,Fall,2020,8.4,8.7,8.58,A
306,1237,COURSE13,Fall,2019,7.8,7.3,7.5,B
307,1322,COURSE21,Fall,2019,4.5,5.5,5.1,D
308,1103,COURSE13,Fall,2023,2.1,1.5,1.74,F
309,1298,COURSE32,Summer,2021,5.6,6.9,6.38,C
310,1427,COURSE48,Spring,2020,5.3,4.2,4.64,D
311,1283,COURSE11,Summer,2019,5.5,5.1,5.26,D
312,1385,COURSE41,Spring,2024,4.6,5.4,5.08,D
313,1435,COURSE16,Fall,2022,6.8,6.1,6.38,C
314,1253,COURSE38,Fall,2021,7.8,8.0,7.92,B
315,1387,COURSE48,Summer,2024,2.7,1.5,1.98,F
316,1199,COURSE35,Fall,2021,4.4,4.4,4.4,D
317,1410,COURSE3,Summer,2019,5.7,6.9,6.42,C
318,1287,COURSE44,Fall,2021,4.4,5.0,4.76,D
319,1455,COURSE1,Spring,2023,4.2,5.5,4.98,D
320,1050,COURSE40,Spring,2020,6.3,5.8,6.0,C
321,1121,COURSE30,Summer,2019,5.2,6.9,6.22,C
322,1095,COURSE35,Fall,2023,9.9,9.4,9.6,A
323,1379,COURSE28,Fall,2021,7.5,8.8,8.28,B
324,1464,COURSE35,Summer,2022,5.1,5.3,5.22,D
325,1339,COURSE26,Spring,2021,4.4,4.5,4.46,D
326,1491,COURSE7,Fall,2020,8.2,8.7,8.5,A
327,1095,COURSE5,Spring,2022,7.8,9.9,9.06,A
328,1388,COURSE11,Fall,2024,3.6,1.5,2.34,F
329,1364,COURSE43,Summer,2024,6.9,8.0,7.56,B
330,1336,COURSE32,Summer,2021,6.5,6.7,6.62,C
331,1084,COURSE9,Summer,2020,5.3,7.0,6.32,C
332,1419,COURSE10,Fall,2019,4.0,4.9,4.54,D
333,1219,COURSE37,Spring,2023,6.2,7.0,6.68,C
334,1282,COURSE22,Summer,2020,3.3,2.8,3.0,F
335,1097,COURSE26,Summer,2021,8.8,9.6,9.28,A
336,1363,COURSE29,Spring,2021,5.2,5.5,5.38,D
337,1411,COURSE18,Fall,2019,9.9,9.2,9.48,A
338,1352,COURSE4,Summer,2024,4.2,4.6,4.44,D
339,1233,COURSE45,Spring,2020,8.1,7.6,7.8,B
340,1113,COURSE24,Summer,2020,5.0,4.7,4.82,D
341,1220,COURSE49,Fall,2021,8.2,7.1,7.54,B
342,1234,COURSE13,Summer,2023,4.5,4.7,4.62,D
343,1339,COURSE15,Summer,2023,4.0,5.4,4.84,D
344,1090,COURSE11,Summer,2023,6.8,6.2,6.44,C
345,1400,COURSE34,Fall,2022,2.2,1.6,1.84,F
346,1107,COURSE49,Spring,2019,5.5,6.2,5.92,C
347,1014,COURSE44,Fall,2020,4.2,5.2,4.8,D
348,1081,COURSE19,Summer,2021,4.5,5.3,4.98,D
349,1046,COURSE15,Summer,2024,5.5,4.3,4.78,D
350,1175,COURSE39,Fall,2024,3.2,3.5,3.38,F
351,1430,COURSE34,Summer,2023,5.4,4.4,4.8,D
352,1348,COURSE16,Summer,2023,5.0,4.0,4.4,D
353,1257,COURSE10,Summer,2021,8.3,7.1,7.58,B
354,1462,COURSE50,Summer,2024,6.5,7.0,6.8,C
355,1424,COURSE22,Summer,2024,6.0,5.8,5.88,C
356,1034,COURSE25,Summer,2020,4.7,4.9,4.82,D
357,1085,COURSE6,Fall,2020,6.3,5.8,6.0,C
358,1339,COURSE33,Fall,2022,9.7,9.4,9.52,A
359,1287,COURSE18,Summer,2024,2.1,3.1,2.7,F
360,1316,COURSE13,Spring,2022,5.4,5.5,5.46,D
361,1478,COURSE5,Fall,2024,4.6,5.2,4.96,D
362,1311,COURSE26,Fall,2024,8.2,7.2,7.6,B
363,1130,COURSE6,Spring,2021,7.8,8.1,7.98,B
364,1099,COURSE47,Summer,2024,4.1,5.5,4.94,D
365,1280,COURSE2,Fall,2021,2.6,1.2,1.76,F
366,1423,COURSE17,Spring,2024,7.5,8.0,7.8,B
367,1347,COURSE9,Spring,2022,4.0,4.5,4.3,D
368,1141,COURSE2,Spring,2020,7.6,8.3,8.02,B
369,1476,COURSE27,Fall,2023,8.0,7.3,7.58,B
370,1486,COURSE44,Fall,2020,8.1,9.3,8.82,A
371,1104,COURSE24,Summer,2024,5.0,4.9,4.94,D
372,1184,COURSE21,Spring,2022,6.0,6.4,6.24,C
373,1329,COURSE36,Fall,2020,6.5,6.3,6.38,C
374,1318,COURSE39,Spring,2023,8.3,8.4,8.36,B
375,1223,COURSE41,Fall,2023,9.8,9.6,9.68,A
376,1291,COURSE45,Fall,2020,2.5,2.2,2.32,F
377,1412,COURSE7,Fall,2020,2.6,3.0,2.84,F
378,1171,COURSE2,Spring,2024,5.6,6.6,6.2,C
379,1354,COURSE43,Summer,2022,5.2,6.7,6.1,C
380,1369,COURSE22,Spring,2022,7.7,8.3,8.06,B
381,1432,COURSE16,Summer,2022,8.6,9.4,9.08,A
382,1359,COURSE8,Spring,2020,7.6,8.5,8.14,B
383,1099,COURSE25,Spring,2023,8.0,7.8,7.88,B
384,1260,COURSE41,Fall,2020,7.9,9.9,9.1,A
385,1366,COURSE44,Summer,2024,6.9,8.0,7.56,B
386,1442,COURSE15,Fall,2022,3.9,1.7,2.58,F
387,1295,COURSE8,Summer,2020,2.5,3.6,3.16,F
388,1388,COURSE46,Spring,2024,8.2,7.5,7.78,B
389,1037,COURSE33,Fall,2020,5.5,5.7,5.62,C
390,1335,COURSE34,Spring,2023,10.0,9.8,9.88,A
391,1399,COURSE12,Fall,2020,9.7,9.3,9.46,A
392,1077,COURSE22,Fall,2020,2.2,1.2,1.6,F
393,1234,COURSE28,Fall,2021,2.7,3.8,3.36,F
394,1152,COURSE38,Fall,2020,5.4,5.3,5.34,D
395,1418,COURSE1,Spring,2019,6.8,7.6,7.28,B
396,1300,COURSE21,Spring,2022,8.1,8.8,8.52,A
397,1406,COURSE26,Summer,2021,3.4,2.5,2.86,F
398,1044,COURSE28,Summer,2023,8.3,8.7,8.54,A
399,1404,COURSE5,Summer,2022,3.1,2.0,2.44,F
400,1079,COURSE40,Summer,2022,7.3,7.5,7.42,B
401,1302,COURSE9,Fall,2020,8.5,9.3,8.98,A
402,1374,COURSE11,Summer,2022,5.0,6.8,6.08,C
403,1409,COURSE15,Fall,2019,5.3,4.8,5.0,D
404,1450,COURSE29,Summer,2020,4.0,5.5,4.9,D
405,1256,COURSE2,Spring,2023,8.5,9.5,9.1,A
406,1136,COURSE36,Summer,2019,3.4,2.3,2.74,F
407,1264,COURSE18,Summer,2021,2.4,3.9,3.3,F
408,1124,COURSE37,Summer,2024,6.6,7.7,7.26,B
409,1297,COURSE3,Spring,2019,5.4,5.9,5.7,C
410,1020,COURSE40,Summer,2023,6.7,6.1,6.34,C
411,1222,COURSE48,Summer,2020,6.7,7.3,7.06,B
412,1290,COURSE17,Fall,2019,5.2,5.5,5.38,D
413,1348,COURSE48,Fall,2022,2.5,3.0,2.8,F
414,1052,COURSE44,Fall,2023,3.7,5.1,4.54,D
415,1500,COURSE38,Spring,2023,8.5,9.9,9.34,A
416,1401,COURSE19,Fall,2020,8.3,9.9,9.26,A
417,1005,COURSE27,Summer,2024,8.8,9.0,8.92,A
418,1055,COURSE41,Spring,2024,9.1,8.9,8.98,A
419,1498,COURSE33,Summer,2022,2.5,1.6,1.96,F
420,1078,COURSE41,Summer,2020,3.9,2.5,3.06,F
421,1038,COURSE12,Summer,2019,5.0,4.7,4.82,D
422,1175,COURSE29,Fall,2020,3.2,2.8,2.96,F
423,1186,COURSE45,Spring,2024,7.0,6.5,6.7,C
424,1036,COURSE23,Spring,2021,7.0,7.0,7.0,B
425,1476,COURSE26,Spring,2022,5.4,6.2,5.88,C
426,1201,COURSE37,Summer,2020,5.8,6.7,6.34,C
427,1108,COURSE37,Summer,2023,8.1,7.1,7.5,B
428,1071,COURSE2,Fall,2022,5.4,4.8,5.04,D
429,1281,COURSE8,Spring,2019,3.2,2.2,2.6,F
430,1058,COURSE27,Summer,2021,6.3,6.8,6.6,C
431,1031,COURSE39,Spring,2023,6.3,7.0,6.72,C
432,1089,COURSE35,Fall,2023,9.3,9.7,9.54,A
433,1497,COURSE42,Spring,2021,2.1,3.0,2.64,F
434,1133,COURSE12,Spring,2022,3.3,1.3,2.1,F
